Product,Consumer complaint narrative
Credit card or prepaid card,"In XX/XX/2021 my husband and I went to Lowes Home Improvement store to purchase decking supplies. The sales person at the Pro Shop desk sold us on opening up a business advantage credit card so we would get the 20 % off our purchase for new applicants and a 5 % discount each time we made a purchase at Lowes for having a business account.

We agreed to applying since it would afford us time to pay the amount and we would also get our order by the beginning of summer. Unfortunately the total for the supplies maxed the credit limit on both my card and my husbands. 

On XX/XX/XXXX my husband and I both received a letter from Synchrony Bank indicating our accounts were closed due to few commercial financial accounts and few open commercial credit card accounts. 

This is very unfortunate as we never indicated to the sales person we were contractors or professional commercial builders. This credit card was recommended by that sales person and never advised us there was a possibility it could be closed in the near future for these reasons. 

Upon calling Synchrony Bank Lowes and speaking to a supervisor we were advised there was nothing they could do and recommended we apply for the Lowes Advantage credit card. 

I informed the supervisor how is that fair when we applied in XXXX and why was it approved if the credit report showed no commercial accounts. We no feel we were approved just to get is to make the purchase snd now we are locked into paying this money and the interest if we fail to payoff before the promotional period. 

Not only do we have no credit card but we will be subjected to another inquiry on our credit report. When this was already done back in XXXX. My credit report shows they checked my consumer credit history so for them to say they only checked my commercial credit history is untrue."
"Credit reporting, credit repair services, or other personal consumer reports","XX/XX/XXXX, I got laid off from my full time job at XXXX  XXXX  XXXX  with my XXXX child. My spouse was not a legal resident of the United States, therefore he had to stay in his Country while all the legal paperworks were being processed on his behalf. My mother was mighty ill at the time trying to fight the life stealer XXXX and I was her sole caregiver and refuge of strength while fighting this XXXX. I was able to complete my course towards my Bachelors in XX/XX/XXXX. I gave birth to my daughter in XX/XX/XXXX. Now, I have to be caring for my newborn and my mother while doing job interview etc to get back on feet, it was not an easy task but I tried my best. With all financial factors I was facing I reached out to Navient before my grace period end and they did not give me extra time or nothing to alleviate all that was happening to me. When it came to the time for me to repay the loan, my monthly payment was more than {$500.00}, I could not pay that. My mom passed away XX/XX/XXXX and I inform Navient and begged for some leniency and they made it clear that there was nothing that they could do. I was willing to give them copies of my Mom hospital bills and death certificate because I was that desperate and they just didnt care. I didnt have the money to pay so I end up being late on my payment. This is not something that I proud of, this is something that I had zero control of. So now I have one negative mark on 22 loans with Navient, which messed up my credit, because my report states that I have been late on a loan 22 times. If people at Navient had a heart, they could at least ask me to show proof of my situation, which I could. I sent a Good will letter to the CEO XXXX XXXX, informing him of my situation begging him to remove the negative items so I can get back on my feet as a single trying mother. He had a representative call saying, they cant help me. This organization, has zero remorse for people. We are people! Not a target or goal. My loans are now consolidated on always on time never missed a payment, but those negative marks still remains. Earlier this year, we had a Government shut down and I was affected as a XXXX  XXXX, I reached out to the CEO XXXX XXXX again, begging to remove the negative mark so that I could be approved for a loan, so as to help my family through that period and these cold hearted people called to say that they could not help me. Nothing has changed with Navient. XXXX XXXX email : XXXX XXXX"
Credit card or prepaid card,"Capitol one recently started allowing the transfer of their reward points to airline frequent flyer programs. Their points are valued by capital one at XXXX cent per point. I currently have XXXX points and change. Capital one sent me an email advising me of a unique opportunity to transfer to emirates airlines. Checking that they had a flight available for my dates, I initiated a transfer of XXXX miles. a day later I discovered that capital one reversed my transfer and restricted my online access. I was informed I needed to send the following pieces of information : Drivers license, SS card, Utility bill and Frequent flyer account screenshot. All of which was done immediately. Multiple representatives informed me of a XXXX - XXXXXXXX XXXX  resolution time to verify my identity and restore access. This was as of XX/XX/XXXX. It is now XX/XX/08 and I still don't have any resolution. Capital one keeps on informing me that they're reliant on a third party vendor to verify documents and until then they can't get the back end team to lift the restrictions. I can not use my credit card for any purchases in the meantime, nor can i manage my account online. Capital one has informed me that this may take as long as 4 months. I am flabbergasted that I can be subjected to such apparent abuse by a financial company who clearly is looking to get customers to forfeit their points rather than have customers redeem it."
Credit card or prepaid card,"I was looking for somebody to take care of me I had my contact information on a dating website for the public to see. I was contacted by somebody claiming to be somebody else unbeknownst to me, they said they would gladly help me out on XX/XX/XXXX. They provided me with their full name, account number, and access password for their XXXX XXXX  account XX/XX/XXXX. I saved all the text messages between me and the other party because I had a feeling it was a little too good to be true but I was also desperate for cash. After I put in the information and transfer the funds to my credit card to make a full payment I contacted the credit card company and told them that I didn't know if it was fraudulent but I wanted to be sure that I was okay and they told me I was they told me my account was safe. After the funds had cleared the other party started demanding that I buy gift cards a lot of it and send him the information. I declined and cut off communication with him XX/XX/XXXX. The payment was then reversed a couple of days later. My credit limit was actually increased on an unrelated credit card within the same bank and then was closed without my knowledge until I try using it again to which would always come back decline. After calling both credit card companies I was told to my accounts were closed because a reverse payment from an account that was unrecognized they assumed it to be fraudulent or scam activity and since I had actually made a payment it was my fault and they closed my accounts. I made sure not to use the money that was paid to me from the XXXX account but they advised me that weather I use the money or not I would be responsible no matter what. I asked if there was a way I could appeal they said their decision is final I told them it was an honest mistake and I had no intention of following through with a scam they said that doesn't matter."
"Credit reporting, credit repair services, or other personal consumer reports","XXXX has continued to report an account which I previously held with them as a derogatory account to the various consumer credit reporting companies. I have disputed the status of the account with the Credit Reporting Agencies, as well as directly with XXXX without success. XXXX contends and reports that the account was included in a bankruptcy filing, thus reporting the account as a negative or derogatory mark/tradeline on my consumer credit reports, however this is in fact, untrue. The account that I held with XXXX was in good standing and maintained a zero balance from the date that it was opened until the date it was closed by the creditor. The account was not discharged or even included in the Chapter XXXX Bankruptcy I filed as there was never any debt to discharge. As I have previously disputed this account with the Credit Reporting Agencies, some of them have deemed any further disputes erroneously as frivolous due to XXXX 's insistence that they are accurately reporting, therefore precluding me from any further disputes of that information. The account was closed by XXXX unilaterally and should be reported solely as closed by grantor, without any negative remarks or connotations that cause it to be classified as a derogatory account which can negatively impact my credit score. 

This account is specifically reported on my TransUnion and XXXX  reports. 

XXXX shows it inaccurately as included in Bankruptcy ( negative ) last updated in 2014. Even after a dispute with both the CRA and the creditor, even though they report it as never having a balance."
"Credit reporting, credit repair services, or other personal consumer reports","This complaint is against, XXXX, XXXX, and Experian. 
Problem # 1. All three credit reporting Agency refused to remove a negative account with XXXX, after so many attempts explaining there account was paid in full at the time I terminated my service. 
All three credit reporting easily take side with XXXX, choosing to not give my dispute any type of credibility. 

Problem # 2, All three credit report Agency, XXXX XXXX and Experian continues to report an old account that was in collection as still being in collection even after the fact it has been settled by the owner of the account. I was a co-signer on the account to help a friend get for a rental properties, but the signer of the account settled the account and paid in full. 

Problem # 3, All three credit report Agency, neglectfully assessing my three digit credit score number below 680. I have over {$110000.00} Credit line, with only a 10 % Debt to ratio outstanding balances. 20 years of excellent credit history, Mortgage paid off within 19 years. My credit score should be at the lowest 790 and 850 at the highest. These credit reporting are bias and work for the best interest of Banks, Lenders and Credit Card Owners. 
I am trying to take an equity credit line to pay for XXXX of my children college tuition and home improvement, but the lower credit score reported than my credit worthiness deserve, has caused me a great deal of disadvantage. 
This is just an abuse of a power of these three credit reporting agencies. They are simply working against us consumers. They take every opportunities to destroy us consumers after us being  building our credit for decades. These reporting agency do not care to look at the totality of our credit history, we could have 20 years of excellent payment history, and one day we face a creditor trying to collect on account that we dispute and we refuse to pay it because we do not owe it,???? then the credit reporting agency instead of allowing us to exercise our right to dispute it, they side with the creditors and the destroy our lives. They work for them not us the consumers. this has to be STOPPED"
Debt collection,"On Tuesday XX/XX/XXXX, I was notified by my bank that a hold/freeze was placed on my account. I was given a phone number to contact ( which was to XXXX, XXXX & XXXX XXXX, XXXX ), but not given any specifics as to why the funds were on hold, but that there was only a legal hold and that my bank must honor it. All of the funds in my account were placed on hold and I am still currently unable to access any of them. This includes funds I need to pay for child support as well as my rent and life saving medication. It is important to note that I have never been in contact or received any communication from this firm. I currently reside in New Jersey and the firm operates and somehow obtained a Judgment against me in Pennsylvania. I contacted the firm immediately to discuss the file. I was given no details as to my account and was told that I must give them my full social security number in order for them to look up my account. Having no choice, I agreed to their demands. They located my account and gave me an office file number. I was then transferred to a department and was promised that if it went to voice mail that I would be called back immediately. I called the office twice each day for 4 days. Each time I was told that no one was available to take my call and each time I was transferred to a voice mail. In the interim I did some research as to what had happened with my account. A judgment had been filed on XXXX and was subsequently entered against me on XXXX. There is no information regarding service of the Summons and Complaint ( I have attached the court paperwork. At the District Court level is always available on the website ) When I inquired with the court as to the service, they would not give me the specifics as to the service, but that it had allegedly occurred on XX/XX/XXXX, which would be on a Sunday, and 2 days after the Judgment had been entered. I again reiterate that I live in NJ and did not receive any of this paperwork that was allegedly sent almost a year ago. I also finally was able to find out on my own that this was for a Discover Bank file. The office has not given me any information as to the account, including balance owed, date of charge off or any other information. I have not received a letter of acknowledgment as of yet that is supposed to be sent ( In accordance with the FDCPA ). On XX/XX/XXXX, I was finally able to speak with attorney XXXX XXXX with the firm. He did not provide me with any account information as to what their office was collecting for or any information as to the status of my case. I was not given the XXXX in any of my communications with the firm, including when attorney XXXX XXXX spoke candidly about my account information. Other than in my original communication with the office did they confirm any right party contact information. I was never asked my name in any calls, despite them speaking candidly about my account and actions taken. When speaking with XXXX XXXX at XXXX XXXX on XXXX, I informed him of the situation regarding me never receiving documentation, and living out of state. I also explained that that I believed the Judgment was invalid as service was not made prior to Judgment being entered. If I was in fact served, I would have not had a chance to respond accordingly. XXXX understood the situation and stated that he or someone in his office would contact the court and call me back promptly. I advised that I needed to have this resolved today as I have had no of my funds available now for 4 days. He vowed to look into it and have someone reach back out immediately. I did not receive any calls from them after that. I called their office back at XXXX XXXX on XXXX. I again spoke with XXXX and asked for an update. He advised me that he never reached out to the court. He also stated he did not know how much was on hold, but they were proceeding and that I could file whatever paperwork I deemed necessary. I again reminded him that they had never contacted me and advised him that I believe that they are trying to collect on an invalid Judgment and possibly the wrong person. He did not seem to pay any mind to that and said they intend to proceed. I asked if there was any other way we could resolve this and he declined. As a final note, I was never made aware if this firm had been recording my calls. If they were I would not have spoken with them and specifically not given my social security number over the phone with them. In Pennsylvania the opposing party must advise and confirm that the other party is ok with the call being recorded."
Credit card or prepaid card,"XXXX  credit card did not post my payment to my account in XX/XX/2018. I am unable to access my account online due to their system issues and they will not send me a paper copy of statements nor the letters related to the dispute, acknowledgement of proof of payment, findings of the dispute, the payment posting nor the amended reporting to the credit agencies due to XXXX not posting my payment. I was verbally told in XXXX that the dispute was resolved in my favor and I continuously call requesting and demanding MAILED copies of every letter related to this transaction and I have yet to receive one piece of mail OR a mailed statement which I have asked to receive the mailed letters numerous times. 

I just want these letters.This is a traumatic frustrating experience that has caused me so much stress. I do not understand why I can not receive the information that is mine and to obtain information to ensure my credit is appropriately restored and reported I have informed d, I very with the post office and not one piece of correspondence has been received at the post office"
Debt collection,I never signed any paperwork with this company stating that I promised anything.
Credit card or prepaid card,"I have a Synchrony Bank "" CareCredit Card. '' This card offers a deferred period where if paid by a certain date, you will not pay interest. If not paid by this date, interest will be accrued retroactively to the date of purchase. 

In this particular instance, I had 2 separate transactions on 2 separate dates. However, they both had the same promotional deadline of XX/XX/19. The oldest of the 2 was the largest and all payments made were applied to this transaction until the last two payment, Synchrony then applied the last 2 to the second purchase. This left a balance on the larger purchase ... effectively making me responsible for the retroactive interest that was the highest. 

After over an hour on the phone and having to exert much force, Synchrony rectified this. They told me that this was done for my benefit since it appeared that I would not have the larger balance paid off, it was better to at least pay off the smaller of the two. I don't buy this for a minute and feel that this is a very underhanded tactic to extract the most interest possible. I only caught this when I went on line to see the balance that was remaining on the larger purchase, as I have every intent to satisfy this balance by the deadline. 

I think the actions of Synchrony is criminal and should be investigated!"
"Payday loan, title loan, or personal loan","I called GM several times to send me the paperwork for my lease to register it to my new address with the dmv and they haven't sent me the paperwork. 
It's costing me a lot of extra money in insurance and it's important for me to register it in my new Address which is in a different state."
Student loan,"I authorized XXXX to take {$140.00} a month. They took that plus {$450.00}. I never authorized this. They used the information from one loan to deceptively take an additional amount out. When I told them they said it would take 5-10 days to refund my money. This happened two months in a row. 
Help"
Debt collection,"I am writing to file a formal complaint against Midland Funding LLC. for predatory collection practices, collecting funds from me and using personal data to dig up more charge off debts to keep extorting payment with ill obtained false judgements with court insiders. 
Facts : Midland Funding LLC. Has used predatory collection tactics, against me to obtain default judgements and then force payments. They have used the legal system to threaten, and they act like they were doing me a favor by offering me a reduced payment on me to pay for 2 credit cards with XXXX that had already been charge off accounts by XXXX and XXXX XXXX. I did not know any better and just gave them a pre authorized check that I honestly thought I was curing my last credit cards that had gone bad due to unemployment. But I believed them and I thought this was better then filing bankruptcy and I even have letter that shows they were settled. In XXXX I received a call about new default judgement and I hit the roof. I wrote to them and disputed the charges. Yet to no avail. I have disputed the debt but they know the people in the court so this time I was at my worse financially. I did not think they would obtain anything, because sadly I have been financially insolvent, barely making enough to pay rent, food even with food stamps, student status because I could not get any jobs due to the judgements against me, coupled with anxiety and could not get over so much loss/crisis. Yet this company is thriving by abusing families, they got a default judgement without properly notifying me or PROVIDING PROOF OF THE DEBT. They have lawyers, clerks and people working the system. They act with no regard or fear of being checked, because they know I don't even have the money to pay for a lawyer or the filing fee. This is a disgrace, that I go to the court and I can't do anything. Today I thought I would reach out to your group in hopes for justice. Here are the details : Case Midland Vs. XXXX XXXX Original Creditor is XXXX-XXXX  : ending XXXX Acct opened XXXX Date Account Charged off : XX/XX/XXXX Default Judgement : {$2500.00} On XX/XX/XXXX I requested SUBSTANTIATION PROOF OF DEBT received no response from them. 

On XX/XX/XXXX. I Received a ( NOTICE OF LEVY- ENFORCEMENT OF JUDGEMENT ) copy of a recently court filing form EJ-150 of the same judgement but now it is for $ XXXX-READS notice of Execution of Money File XXXX-original court case XXXX. 

They know I live in XXXX, they have my address because it arrived. Yet they Filed in XXXX Courthouse XXXX XXXX XXXX. with signed levying officers listed as County Sheriff Civil Division XXXX by XXXX XXXX of XXXX XXXX XXXX # XXXX registered process server. 

I made the mistake of paying them for two credit cards, XXXX XXXXXXXX that went into charge off status due to loss of employment, loss foreclosure of my home in XXXX in XXXX. At that point, I was doing my best to settle things with creditors because I was in financial crisis. I wrote to all my creditors ( attached letters ) directly and paid the credit cards I owed by making direct settlements with credit cards companies. 

I also did a Died in Lieu of Foreclosure with XXXX XXXX XXXXXXXX, they agreed to charge off the XXXX   XXXXfirst loan, {$53000.00} for second loan and one final remaining credit card with XXXX, it is noted on my credit report ( see recent credit report attached ). They consequently denied this agreement and turned it into a foreclosure but gave me charge offs on all the debt due to the HARP guidelines. My credit was ruined, XXXX XXXX filed a Judgement and I paid, Midland Funding found a way to squeeze out {$2000.00} out of my promising that they would not file judgements against me, they claimed they had been hired by my credit card companies. I did not know any better so I paid them. ( I can provide checks once I get from bank ). 

I wrote letters to XXXX XXXX XXXXXXXX, to get my final relocation {$1500.00} but no luck. I was stuck in a rural area now, no job and in XXXX when they sent me a letter to pay the above credit debt, I demanded proof. I had after all lost my dignity, job, all my 401k, filed for unemployment, forced to apply for welfare to survive. I did not think moving to XXXX XXXX with {$1500.00} of the original deal to keep only one house would have been possible ; but a Lawyer from XXXX XXXX XXXX XXXX assisted me. I tried to apply for similar jobs, and could not obtain employment, filed for Welfare, became financially insolvent, have lost everything and have no money for anyone to levy ; not even me. I have been working for the last 5 years barely providing basic needs for my XXXX XXXX XXXXXXXX, XXXX, XXXX ; I have gotten divorce and on XX/XX/XXXX I received a copy of a "" Money Levy from Midland Funding. '' They should not be allowed to operate in this manner. 

I looked through my papers and it turns out that I have paid them over {$2000.00} and received a letter regarding the Judgement in question. As I had suspected, I settled two of the credit cards with them for XXXX and XXXX again two different credit cards. They now want to squeeze more blood, but there is nothing left. 

They have gone out and purchased some OLD CHARGED OFF debt from XXXX XXXX after they promised that they would not file DEROGATORY legal judgements against me. WRONG, Midland Funding LLC, lied they are experts at their craft. 

They intimidated me in to paying the two previous debts which were probably not even valid and now they are coming after me again. This is unfair and they deserve to be held accountable by someone. 

I do not owe Midland Funding or have a credit card contract with their client XXXX   They were not able to validate the debt, and when I refused to be taken advantage again, because my credit was still showing all those judgements plus a foreclosure, they decided to pay the courts to obtain a default judgement in XXXX. Both cities that they have contacts, with the people there facilitate their paper filings. 

In addition, I have called them and disputed these charges repeatedly over the phone, in writing but they will not stop filing more forms with the court, harrasing me, using the courts to bring a judgement on a debt they have no proof I owe them. 

I have copies of the settlement letters from them, I went into default on my credit cards, and later experienced more financial hardship ; I took responsibility for my wrongs. I have paid my DEBTS, it has been 5 years of ABSOLUTE XXXX, crisis and this company is ruthless they will not leave me alone. They deserve to be fined themselves for the tactics they use with the courts to obtain wage garnishments for debt that has been charged off. 

I request that they be investigated, prosecuted themselves because I have no powe4r against them. I went to my local court and asked them for help on this and have tried to go to the XXXX XXXX XXXX Self help but they say I need to go to XXXX California which is 12 hours south of here. This is EGREGIOUS behavior! 

Moreover, I pulled my credit report as a result of this and during the time period they claim this debt is from is too old. It is not listed as one of my accounts. I also have copies of the settlement letters I wrote to ( my creditors see attached ). I have also kept copies of the letters that Midland sent me with copies of credit cards that had already gone to judgement but they told me they ha settled accounts I had with them. They obviously had my address, contact but they failed to communicate because they knew they had the judgement, which was easier then to verify the debt because they do not have a way to pull the original contract. 

I know I have made some mistakes dealing with credit, but did the best given my situation to settle and make workouts. Life happens to all of us. I am not a crook. It has been years of trying very hard to survive, living below poverty level, using free, donated items, getting mental health, and now after 5 years this company is coming to garnish my wages because they were given a default judgement with no proof of the debt. This is unfair and I implore you do something about this this company, they are a cancer, they need to be investigated and stopped. How can they get these default judgements, abuse working citizens and make money? Who are they paying to process these documents without proof of the these old charged off debt? 

Please help me I can be reached at XXXX."
"Credit reporting, credit repair services, or other personal consumer reports",I was advised to contact you all regarding two items on my credit that is not mine XXXX XXXX  and XXXX. I reached out the my local police department and the FTC. I really need help to get these items off my credit report.
"Credit reporting, credit repair services, or other personal consumer reports","I was sent a debt forgiveness offer by XXXX XXXX XXXX via mail, I emailed the company to verify if the offer was still available, the offer was : To pay "" special offer balance '' of {$2000.00} and my account will be marked paid in full. The company confirmed that the offer was available and provided an address to send the check. I sent a check of {$2000.00} first, then {$26.00} totaling in {$2000.00} in XXXX of 2019. This was a cashiers check from XXXX XXXX XXXX XXXX. 
After paying the balance I waited a month and the company did not update my credit report. I emailed them and they said they would contact Experian but nothing changed. I then filed a dispute with Experian by speaking with a representative over the phone, I also sent the letter that was sent by XXXX XXXX XXXX and a copy of the checks sent. 
Experian completed the dispute as "" remains the same ''. I called again, to find out why it was not updated. Experian Rep. explained that it can not be removed and my dispute was to have this item removed. Me and XXXX XXXX XXXX have communicated via email and telephone that the item ( Charge Off ) can not be removed but should be marked paid in full in accordance with the Debt Forgiveness Offer. After verifying again with XXXX XXXX XXXX, it seems as though we are on the same page and Experian is not updating my credit report. I filed another dispute in XXXX and the dispute came back again "" remains the same '' showing that the balance was still {$2000.00} instead of {$2000.00} and not marked paid in full. My last dispute was to verify the accuracy of the information on XXXX XXXX XXXX and again explaining my situation to an Experian Representative."
"Credit reporting, credit repair services, or other personal consumer reports","On XX/XX/2019 I emailed XXXX XXXX XXXX  regarding two accounts reporting incorrectly on my credit reports ( XXXX, XXXX, XXXX ). I informed them there were inconsistencies between the three bureaus and asked for these accounts to be removed from my credit report. In the email ( screenshots attached ) I addressed myself under my legal name, XXXX XXXX. On XX/XX/2019 XXXX XXXX XXXX responded with 3 letters per account which did not address my concerns with the inaccurateinvalid information reporting on my credit reports. In addition to not addressing my concerns, the company referred to me under an incorrect name. Despite me giving them the name XXXX XXXX in my request they addressed the letter to a XXXX XXXX. This additional inaccuracy is proof this debt needs to be removed from my credit reports."
Checking or savings account,"Im totally frustrated with my service with TD. They have constantly XXXX me over. I tried to activate a new card I received from them and told the card was invalid. I called customer service and they seem to be no help at all. I told her what was going on. So the bank sent me a card that wasnt working. I told her I had to get a temporary card due to fraud issues. 

I get to the train to purchase my fare and my card doesnt work. The incompetent agent deactivated my current card! I was stranded at the train station. Thank XXXX a person was able to purchase me fare to get to work this morning. Im tired of TD. You guys have taken so much money from me. Trust me I dont forget the XXXX  you guys taken from me putting my account in negative for 3 weeks. A dispute I know i did not do."
Mortgage,"In XXXX, I got behind on my mortgage after I had an unforeseen expense : my uncle was murdered, and I had to cover funeral expenses. I was sued in foreclosure. With assistance from XXXX XXXX XXXX XXXX ( XXXX ), I submitted a loan modification application to counsel for the foreclosure plaintiff, Bayview, on XX/XX/XXXX. On XX/XX/XXXX, an employee of counsel for Bayview sent  XXXX an email confirming receipt of the application but stating that I am not eligible for a modification due to file [ sic ] having 3 or more prior modifications on the loan. 
The same day, XXXX requested documentation showing the 3 or more prior modifications. After several days, counsel for Bayview provided documentation of five prior modifications. An employee of Bayviews law firm noted that after my loan was modified three times, an additional modification was approved after investor exception was granted. The investor, according to the law firm employee, is XXXX XXXX ; the employee provided a link to the online XXXX XXXX XXXX XXXX XXXX XXXX. The link did not identify any particular part of Users Guide relating to the number of modifications XXXX XXXX permits ; nonetheless, a search of the Users Guide reveals that XXXX XXXX provides that servicers may ask XXXX XXXX for permission to modify a loan that has been modified three or more times, and explains how to do this. 
In a mandatory court-mediated settlement conference on XX/XX/XXXX, XXXX asked that Bayview request from XXXX XXXX an exception to the three-modification cap ( as Bayviews own documents show had been done in the past, with XXXX XXXX acceding to its request ). The court referee presiding over the conference directed Bayviews counsel to provide documentation, at the subsequent conference, of its request to XXXX XXXX, and XXXX XXXX response. 
Despite the courts clear directive, Bayviews counsel did not provide any documentation of its request to XXXX XXXX for an exception, or of XXXX XXXX response. In a letter emailed to XXXX on XX/XX/XXXX, Bayviews counsel stated conclusorily that an exception request was submitted to XXXX XXXX on XX/XX/XXXX. On XX/XX/XXXX, a decision from the investor was received advising the waiver request was denied. ( See appended copy of XX/XX/XXXX letter. ) XXXX responded by pointing out that the response did not satisfy the courts directive, but Bayviews counsel did not reply or provide any further detail. 
However, on or about XX/XX/XXXX, to my surprise and relief, Bayview offered me a trial modification. ( See appended copy of XX/XX/XXXX trial offer. ) I made a timely trial payment to Bayview in  acceptance of the offer, as expressly contemplated by the terms of the offer. I was elated to have been offered the opportunity to save the home that I live in with my fianc and children. The first trial payment I sent to Bayview was debited from my bank account. 
Then, although Bayview had accepted my payment, on or about XX/XX/XXXX, Bayview sent me a refund check and informed me in writing that the trial offer had been made in error. ( See appended copy of XX/XX/XXXX letter and copy of refund check. ) Between the time that I accepted the trial modification offerwhich, by its terms, required only that I make three timely trial payments in order to successfully complete the trialand receiving Bayviews purported withdrawal of the accepted offer, I reasonably relied upon the offer by spending money on repairs to my home. If I had not received the offer and accepted its terms, which are affordable to me, I would not have made the repairs : until I received the offer, I feared that I would not be able to keep my home in light of the pending foreclosure and the prior modification denial."
"Credit reporting, credit repair services, or other personal consumer reports","This is a complaint about my payments to XXXX XXXX XXXX XXXX in XXXX MA. At the end of the year they went back and applied all my payments that were only a couple weeks late to my upcoming payment, making it look like I had missed my XXXX payments. I have checks with dates and withdrawal dates that prove I paid them all within 30 days. Late payments should not be reported to credit bureau unless > 30 days late. So for example my payment is due on the XXXX of every month. In XXXX. My check was sent XX/XX/XXXX and was cashed XX/XX/19. Then in XXXX I sent it 2 weeks late and they didnt cash it until XX/XX/19. But that is still within the 30 days. They applied this payment to my XXXX bill early and reported to credit that I missed my XXXX payment. UNACCEPTABLE. I have never missed a XXXX dollar payment since I got the loan 3 years ago. This dropped my credit score 100 points right as Im about to start applying for mortgages!!!!"
"Credit reporting, credit repair services, or other personal consumer reports","Experian. My credit card balances are incorrect for 2 months. I contacted Experian XX/XX/19. Customer service representative said it was the credit card responsibility to provide the information. The credit Card company, XXXX said it's Experian, XXXX and XXXX   responsbility. My credit is down to 30 % from 95 %, but still shows 95 %. I want to lease a car, but can not with my terrible credit score.

TransUnion. I tried to speak to someone to make corrections, but got disconnected. Also on XX/XX/2019."
Debt collection,"I was contacted by Portfolio Recovery Associates, LLC. this company on XX/XX/2019 called to collect two debts that were supposedly owed by me.The first account was for {$290.00} and the second account was {$700.00} I asked the customer service representative what address did they have on file for the debts. The address he provided was inaccurate and i had never live there before. He explained that i could dispute the accounts due to no knowledge or evidence at the present time to state the proof. He then proceeded to state that he has to read out a disclaimer stating the process of the dispusting of the account ; the creditor can not sue the consumer for the so called debt. 
After a little over a month, On XX/XX/2019, I received in the mail a letter from the debt collector showing how only one of the accounts was valid and accurate. In the envelope there was copies of bills that were sent to the inaccurate address that was on file. That is not accurate proof to show that I owe a debt. Portfolio Recovery Associates is to provide a copy of signed with signature, contract or agreement. Failure to show accuracy of the event has resoluted me to file a complaint against the company. Also. there was no valid validation stating that the other account was mine, either."
Debt collection,I am a victim of identity theft and this debt does not belong to me. Please see the identity theft report and legal affidavit attached.
"Money transfer, virtual currency, or money service","On XX/XX/2019, a man calling himself XXXX XXXX emailed me about an online ad I responded to advertising a studio sublet. We communicated by email and spoke on the phone several times. He shared pictures of the apartment and knew a lot of details about the property, which I checked out online. Due to circumstances, I had to rent a place to live for two months while in another state. 

On XX/XX/2019, I sent him {$2300.00} via XXXX through my Bank of America account. He asked me to send it to XXXX XXXX at XXXX. After the payment, he stopped responding to my texts or phone calls. I realized I was scammed. 

On XX/XX/2019, I filed a claim with Bank of America. They said it would take a week or two for them to make a determination on whether they could refund my money. They also said it wasn't a case of fraud even though this man lied, cheated and never had an apartment to rent because, they said - get this - I sent him the money. I filed a report on the FBI website XXXX. 

On XX/XX/2019, I filed a police report ( attached ). 

On about XX/XX/2019, I'm told via the Bank of America claims dept. that my request for a refund was rejected. I'm also told the account I sent the money to was a Bank of America account and that it was frozen. That same day, I file a second claim through Bank of America, with info from the police report and contact information for the leasing company that manages the apartment. By then, I'd gotten in touch with them to notify them of the scam. 

On XX/XX/XXXX, I called Bank of America to find out what the decision was on my second request. I was informed over the phone that they also rejected this request. The reason, I was told, was because the "" costumer '' had closed their account. I said obviously they would close the account because they are XXXX. They didn't send me a letter to notify me of this decision. The tone from the person on the phone was utterly heartless. 

I am so incredibly disappointed with Bank of America. I have been a costumer since the XXXX and they actually helped this person to steal my money. Look at the news, which reports these scams are rampant with the help of XXXX. Most banks refund their customers ' money while Bank of America helps these XXXX get away scot free. It's crime, pure and simple, and Bank of America is complicit."
Credit card or prepaid card,I have a Capital One Platinum MasterCard with a minimum payment of XXXX dollars. I recently have gone through financial hardship and have been late on making a few payments. Over the following months my minimum payment had increased to a maximum of {$190.00} with the addition of {$76.00} in past dude fees and {$30.00} interest fees.
"Credit reporting, credit repair services, or other personal consumer reports","According to the Fair Credit Reporting Act, Section 609 ( a ) ( 1 ) ( A ), you are required by federal law to verify -through the physical verification of the original signed consumer contract -any and all accounts you post on a credit report. Otherwise, anyone paying for your reporting services could fax, mail or email in a fraudulent account.

I demand to see Verifiable Proof ( an original Consumer Contract with my Signature on it ) you have on file of the accounts listed below. Your failure to positively verify these accounts has hurt my ability to obtain credit. Under the FCRA, unverified accounts must be removed and if you are unable to provide me a copy of verifiable proof, you must remove the accounts listed below. 


XXXX XXXX XXXX XXXX"
"Credit reporting, credit repair services, or other personal consumer reports","THE DISPUTED ACCOUNTS DOES NOT BELONG TO ME, AFTER REVIEWING MY CREDIT REPORT I REALIZED THAT THOSE ACCOUNTS WERE INACCURATELY PLACED ON MY FILE. I WOULD LIKE FOR YOU TO CONDUCT A RE-INVESTIGATION INTO THOSE DEROGATORY MARKS AND HAVE THEM REMOVED OFF MY CREDIT."
